province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,35.5,24.0,18.1
11,สมุทรปราการ,32.8,25.1,19.5
13,ปทุมธานี,36.0,23.1,18.4
14,พระนครศรีอยุธยา,36.2,22.2,17.0
16,ลพบุรี,35.9,21.6,14.5
18,ชัยนาท,34.6,21.0,16.0
20,ชลบุรี,35.6,23.8,18.0
21,ระยอง,33.8,23.0,18.1
22,จันทบุรี,34.8,22.8,17.0
23,ตราด,35.1,24.4,20.0
24,ฉะเชิงเทรา,35.8,20.4,15.2
25,ปราจีนบุรี,36.0,22.4,17.4
27,สระแก้ว,35.7,21.4,15.3
30,นครราชสีมา,35.0,19.6,13.5
31,บุรีรัมย์,34.9,18.8,12.6
32,สุรินทร์,34.3,19.6,11.1
33,ศรีสะเกษ,34.0,19.4,14.0
34,อุบลราชธานี,34.8,19.2,14.0
36,ชัยภูมิ,34.4,19.8,14.2
40,ขอนแก่น,34.8,18.1,12.0
41,อุดรธานี,33.8,17.3,12.1
42,เลย,34.1,16.6,11.4
43,หนองคาย,33.5,18.4,14.2
44,มหาสารคาม,34.4,18.5,12.5
45,ร้อยเอ็ด,33.7,18.8,13.0
46,กาฬสินธุ์,33.9,18.3,11.1
47,สกลนคร,32.9,17.2,11.5
48,นครพนม,33.3,17.6,10.9
49,มุกดาหาร,33.4,18.4,13.2
50,เชียงใหม่,33.2,15.6,6.4
51,ลำพูน,34.6,16.3,11.2
52,ลำปาง,36.1,16.1,9.3
53,อุตรดิตถ์,35.8,19.8,15.5
54,แพร่,34.5,16.6,11.5
55,น่าน,35.1,15.2,9.5
56,พะเยา,32.6,15.3,9.2
57,เชียงราย,31.8,14.9,9.0
58,แม่ฮ่องสอน,35.5,15.9,9.7
60,นครสวรรค์,35.8,21.7,15.4
62,กำแพงเพชร,36.0,20.7,14.7
63,ตาก,36.2,17.3,8.2
64,สุโขทัย,35.3,19.9,14.4
65,พิษณุโลก,35.1,20.1,14.9
66,พิจิตร,34.9,21.0,16.5
67,เพชรบูรณ์,36.8,19.8,14.4
70,ราชบุรี,34.5,21.8,17.9
71,กาญจนบุรี,35.3,20.8,14.4
72,สุพรรณบุรี,35.0,21.8,16.2
73,นครปฐม,34.0,21.4,14.0
76,เพชรบุรี,33.2,23.4,18.3
77,ประจวบคีรีขันธ์,33.7,23.2,16.7
80,นครศรีธรรมราช,34.0,23.4,20.0
81,กระบี่,34.5,24.1,21.0
82,พังงา,32.9,23.7,21.5
83,ภูเก็ต,34.5,25.0,20.5
84,สุราษฎร์ธานี,33.4,24.3,20.6
85,ระนอง,33.2,23.7,20.9
86,ชุมพร,33.8,22.6,18.3
90,สงขลา,33.2,24.3,20.6
91,สตูล,34.2,24.2,22.1
92,ตรัง,33.2,24.0,22.1
93,พัทลุง,32.8,23.9,22.5
94,ปัตตานี,33.6,23.8,22.5
95,ยะลา,33.2,23.3,21.4
96,นราธิวาส,31.9,23.8,
